g_ewaran,p_ewaran,g_parallel,p_parallel,g_zankoline,p_zankoline,department,collage-institute,university
,,82.843,80.5,86.6,81.2,ئەندازیاری نەوت,کۆلێژی تەکنیکی ئەندازیاری,ز.پۆڵۆتەکنیکی سلێمانی
,,80,80,84.26,80.96,نەوت و وزە,کۆلێژی تەکنیکی ئەندازیاری,ز.پۆڵۆتەکنیکی سلێمانی
,,83.867,83.867,88,79.495,میکانیک,کۆلێژی تەکنیکی ئەندازیاری,ز.پۆڵۆتەکنیکی سلێمانی
,,80,80,78.933,78.933,توانای کارەبایی,کۆلێژی تەکنیکی ئەندازیاری,ز.پۆڵۆتەکنیکی سلێمانی
,,84.633,84.633,76,76,پلانسازی شار,کۆلێژی تەکنیکی ئەندازیاری,ز.پۆڵۆتەکنیکی سلێمانی
,,69.9,61.01,71.1,65.3,تەکنیکی کارگێری,ک.تەکنیکی کارگێری سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,61.5,57.8,63.1,62.7,تەکنیکی ژمێریاری,ک.تەکنیکی کارگێری سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,59.8,58.8,63.2,62.4,تەکنیکی میدیا,ک.تەکنیکی کارگێری سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,61.051,59.33,62.8,61.2,پەیوەندیە گشتیەکان و بازارگەری,ک.تەکنیکی کارگێری سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,90.147,78.4,90.733,84.4,تەکنەلۆجیای زانیاری,ک.تەکنیکی ئینفۆرماتیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,77.389,66.8,80.92,73,تەکنەلۆجیای داتابەیس,ک.تەکنیکی ئینفۆرماتیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,73.2,62.733,79.84,69.069,تۆڕەکانی کۆمپیوتەر,ک.تەکنیکی ئینفۆرماتیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,82.857,76,82.389,82.389,شیکاری نەخۆشیەکان - دبلۆم و بەکالۆریۆس,کۆلێژی تەکنیکی کەلار,ز.پۆڵۆتەکنیکی سلێمانی
84.571,74.286,81.714,75.143,77.748,77.478,پەرستاری - تەنها بڕوانامەی دبلۆم,کۆلێژی تەکنیکی کەلار,ز.پۆڵۆتەکنیکی سلێمانی
59.3,57,64.151,59.5,61.1,61.1,تەکنەلۆجیای زانیاری - بڕوانامەی دبلۆم,کۆلێژی تەکنیکی کەلار,ز.پۆڵۆتەکنیکی سلێمانی
,,56.759,54.483,60.8,60.8,کارەبا - بڕوانامەی دبلۆم,کۆلێژی تەکنیکی کەلار,ز.پۆڵۆتەکنیکی سلێمانی
58.8,56.2,68.7,58.369,60.5,60.5,کارگێڕی کار - بڕوانامەی دبلۆم,کۆلێژی تەکنیکی کەلار,ز.پۆڵۆتەکنیکی سلێمانی
,,64.429,60,60.286,60.286,ڤێتێرنەری - بڕوانامەی دبلۆم,کۆلێژی تەکنیکی کەلار,ز.پۆڵۆتەکنیکی سلێمانی
,,61.5,57.9,59.6,59.6,رووپێوی - بڕوانامەی دبلۆم,کۆلێژی تەکنیکی کەلار,ز.پۆڵۆتەکنیکی سلێمانی
54.7,54.191,56.874,54.2,59.42,59.42,کارگێری پڕۆژەی کشتوکاڵیەکان - دبلۆم,کۆلێژی تەکنیکی کەلار,ز.پۆڵۆتەکنیکی سلێمانی
,,90.4,81.595,92.391,88,زانستی تاقیگەی پزیشکی,زانستە پراکتیکیەکان - ک.تەکنیکی هەڵەبجە,ز.پۆڵۆتەکنیکی سلێمانی
,,56.6,54.104,67.03,67.03,کارگێری پرۆژەی کشتوکاڵ,زانستە پراکتیکیەکان - ک.تەکنیکی هەڵەبجە,ز.پۆڵۆتەکنیکی سلێمانی
,,58,53.6,62.8,62.8,زانستی خۆراک و کۆنترۆڵی جۆری,زانستە پراکتیکیەکان - ک.تەکنیکی هەڵەبجە,ز.پۆڵۆتەکنیکی سلێمانی
63.143,59.572,67.5,64,68.2,68.2,تەکنەلۆجیای زانیاری IT,پەیمانگای تەکنیکی زانستی کۆمپیوتەر,ز.پۆڵۆتەکنیکی سلێمانی
59.256,57.3,64,60.7,63.8,63.8,سیستەمەکانی داتابەیس,پەیمانگای تەکنیکی زانستی کۆمپیوتەر,ز.پۆڵۆتەکنیکی سلێمانی
59,57.167,61.8,60.1,62.9,62.9,نێت ۆرک,پەیمانگای تەکنیکی زانستی کۆمپیوتەر,ز.پۆڵۆتەکنیکی سلێمانی
92.286,86.857,90.286,88.286,89.714,89.714,دەرمانسازی,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
84.571,77.143,84.857,80.85,84.286,84.286,پەرستاری,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,85.143,80.875,83.907,83.907,سڕکردن,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
78.159,74.044,81.714,79.704,82.857,82.857,شیکاری نەخۆشیەکان,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,78.286,73.714,78.857,78.857,پەرستاری ددان,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,78.517,73.429,77.143,77.143,تیشک,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,75.429,71.286,74.571,74.571,پەرستاری منداڵان,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
78.286,69.429,74.494,71.143,74.557,74.557,تەندروستی گشتی,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,71.143,69.004,72.857,72.857,پەرستاری ژنان و مناڵبوون,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,67.1,61.2,65.4,65.4,تەکنیکی تەلارسازی,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
62.999,59.1,67,61.3,63.8,63.8,کارگێریکار,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,61.037,58.625,61.14,61.14,رووپێوی,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
58.45,56,60.7,58.1,60.5,60.5,ژمێریاری,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
61,57.444,61,58.987,60.4,60.4,تەکنیکی میدیا,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
56.818,55.175,59.5,57.171,59.43,59.43,تەکنیکی کارەبا,پەیمانگای تەکنیکی سلێمانی,ز.پۆڵۆتەکنیکی سلێمانی
,,67.2,56.586,58.3,58.3,میکانیک,پەیمانگەی تەکنیکی سلێما ین,ز.پۆڵۆتەکنیکی سلێمانی
76.286,71.429,78.856,74,78.571,78.571,پەرستاری,پەیمانگای تەکنیکی هەڵەبجە,ز.پۆڵۆتەکنیکی سلێمانی
73.143,69.319,76.571,71.143,74.874,74.874,شیکاری نەخۆشیەکان,پەیمانگای تەکنیکی هەڵەبجە,ز.پۆڵۆتەکنیکی سلێمانی
58,54.998,62.7,58.4,61.4,61.4,تەکنەلۆجیای زانیاری IT,پەیمانگای تەکنیکی هەڵەبجە,ز.پۆڵۆتەکنیکی سلێمانی
58.8,54.789,60.391,57.73,59.6,59.6,کارگێری کار,پەیمانگای تەکنیکی هەڵەبجە,ز.پۆڵۆتەکنیکی سلێمانی
55.1,52.933,59.1,55.38,57.8,57.8,ژمێریاری,پەیمانگای تەکنیکی هەڵەبجە,ز.پۆڵۆتەکنیکی سلێمانی
82.143,74.714,80.571,77.143,80.286,80.286,پەرستاری,پەیمانگای تەکنیکی چەمچەماڵ,ز.پۆڵۆتەکنیکی سلێمانی
58.2,54.918,61.3,58.4,62.7,62.7,تەکنەلۆجیای زانیاری IT,پەیمانگای تەکنیکی چەمچەماڵ,ز.پۆڵۆتەکنیکی سلێمانی
56.5,55,56.511,54.592,60.491,60.491,تەکنیکی کارەبا,پەیمانگای تەکنیکی چەمچەماڵ,ز.پۆڵۆتەکنیکی سلێمانی
61.7,55.8,61.05,57.8,58,58,کارگێری کار,پەیمانگای تەکنیکی چەمچەماڵ,ز.پۆڵۆتەکنیکی سلێمانی
55.328,53.3,60.595,56,58,58,ژمێریاری,پەیمانگای تەکنیکی چەمچەماڵ,ز.پۆڵۆتەکنیکی سلێمانی
73.571,70.571,73.872,72.286,76,76,پەرستاری,پەیمانگای تەکنیکی دەربەندیخان,ز.پۆڵۆتەکنیکی سلێمانی
,,54.907,54.469,73.298,73.298,تەکنیکی کارەبا,پەیمانگای تەکنیکی دەربەندیخان,ز.پۆڵۆتەکنیکی سلێمانی
54.157,52.41,55.2,53.8,58.6,58.6,ژمێریاری,پەیمانگای تەکنیکی دەربەندیخان,ز.پۆڵۆتەکنیکی سلێمانی
,,58.512,56.068,58.319,58.319,رووپێوی,پەیمانگای تەکنیکی دەربەندیخان,ز.پۆڵۆتەکنیکی سلێمانی
56.4,54.063,59.541,57.2,58.193,58.193,زانستی کۆمپیوتەر,پەیمانگای تەکنیکی دەربەندیخان,ز.پۆڵۆتەکنیکی سلێمانی
56.599,54.414,61.3,56.7,58.1,58.1,کارگێریکار,پەیمانگای تەکنیکی دەربەندیخان,ز.پۆڵۆتەکنیکی سلێمانی
,,53.8,53.8,61.148,61.148,کشتوکاڵ داپۆشەرەکان,پەیمانگای تەکنیکی بەکرەجۆ,ز.پۆڵۆتەکنیکی سلێمانی
,,56.7,55.2,60.5,60.5,کارگێری ئەلکترۆنی,پەیمانگای تەکنیکی بەکرەجۆ,ز.پۆڵۆتەکنیکی سلێمانی
,,55.015,54.086,60.038,60.038,دیزاینی باخچەکان,پەیمانگای تەکنیکی بەکرەجۆ,ز.پۆڵۆتەکنیکی سلێمانی
,,59.9,56,58.4,58.4,زانستی خۆراک و کۆنترۆڵی جۆری,پەیمانگای تەکنیکی بەکرەجۆ,ز.پۆڵۆتەکنیکی سلێمانی
0,0,0,0,0,0,زانستی هەنگ,پەیمانگای تەکنیکی بەکرەجۆ,ز.پۆڵۆتەکنیکی سلێمانی
,,86.967,81.433,90.28,78.6,شارستانی,کۆلێژی ئەندازیاری,زانکۆی هەڵەبجە
,,62.219,62.219,67.5,67.4,فیزیا,کۆلێژی زانست,زانکۆی هەڵەبجە
,,61.133,61.133,79,62.9,کۆمپیوتەر,کۆلێژی زانست,زانکۆی هەڵەبجە
,,83.5,76.9,86.6,81.6,یاسا,کۆلێژی یاسا و کارگێری,زانکۆی هەڵەبجە
